Session Time,EAR,MAR,Blink Count,Yawn Count,Head Direction,Attention Score,Driver Status
00:00:07,0.322,0.029,0,0,RIGHT,100,ALERT
00:00:11,0.197,0.009,0,0,RIGHT,55,TIRED
00:00:12,0.252,0.023,1,0,RIGHT,75,FOCUSED
00:00:13,0.252,0.132,1,0,RIGHT,75,FOCUSED
00:00:14,0.415,0.146,1,0,RIGHT,85,FOCUSED
00:00:15,0.381,0.119,1,1,RIGHT,100,ALERT
00:00:17,0.372,0.082,1,1,RIGHT,60,TIRED
00:00:18,0.233,0.172,1,2,FORWARD,85,FOCUSED
00:00:19,0.315,0.155,2,2,RIGHT,85,FOCUSED
00:00:20,0.214,0.146,2,2,RIGHT,85,FOCUSED
00:00:21,0.195,0.088,2,2,RIGHT,5,CRITICAL
00:00:22,0.195,0.214,2,3,RIGHT,5,CRITICAL
00:00:23,0.239,0.552,4,3,RIGHT,60,TIRED
00:00:24,0.159,0.01,4,4,RIGHT,55,TIRED
00:00:25,0.332,0.0,5,4,RIGHT,75,FOCUSED
00:00:26,0.343,0.003,5,4,RIGHT,75,FOCUSED
